1|1|1|99|5|3|каждую
2|2|1|73|4|5|каждую
3|3|1|65|6|4|каждую
4|4|1|87|4|6|каждую
5|5|1|74|5|3|каждую
6|6|1|93|1|5|каждую
7|7|1|52|3|7|каждую
8|8|1|9|3|2|чётная
9|9|1|35|4|6|каждую
10|10|1|85|6|4|каждую
11|11|1|38|1|1|каждую
12|12|1|20|5|7|каждую
13|1|2|25|1|1|каждую
14|2|2|78|4|2|каждую
15|3|2|60|1|2|каждую
16|4|2|91|3|7|нечётная
17|5|2|100|3|3|чётная
18|6|2|99|2|3|каждую
19|7|2|83|4|1|каждую
20|8|2|45|3|1|каждую
21|9|2|37|4|3|нечётная
22|10|2|53|5|5|каждую
23|11|2|112|3|4|каждую
24|12|2|57|4|7|каждую
25|1|3|71|6|1|нечётная
26|2|3|87|3|7|каждую
27|3|3|5|5|5|каждую
28|4|3|20|3|4|нечётная
29|5|3|110|2|1|каждую
30|6|3|54|1|3|каждую
31|7|3|32|6|3|чётная
32|8|3|48|3|3|чётная
33|9|3|65|2|1|нечётная
34|10|3|99|1|3|нечётная
35|11|3|83|3|3|чётная
36|12|3|63|5|5|нечётная
37|1|4|105|2|2|каждую
38|2|4|43|4|5|каждую
39|3|4|124|3|6|каждую
40|4|4|86|5|7|чётная
41|5|4|47|5|7|каждую
42|6|4|94|4|5|каждую
43|7|4|94|3|7|чётная
44|8|4|43|1|3|каждую
45|9|4|31|1|3|каждую
46|10|4|21|2|4|каждую
47|11|4|18|6|4|каждую
48|12|4|90|5|7|каждую
49|13|5|41|1|7|чётная
50|14|5|111|4|4|каждую
51|15|5|37|3|2|чётная
52|16|5|73|5|5|нечётная
53|17|5|54|2|3|нечётная
54|18|5|15|1|6|нечётная
55|19|5|20|6|7|каждую
56|20|5|111|5|7|нечётная
57|21|5|4|6|5|чётная
58|22|5|116|6|5|чётная
59|13|6|51|2|5|каждую
60|14|6|111|5|6|каждую
61|15|6|97|3|1|каждую
62|16|6|29|5|7|нечётная
63|17|6|89|2|5|каждую
64|18|6|125|5|5|чётная
65|19|6|108|4|2|нечётная
66|20|6|120|3|5|чётная
67|21|6|33|1|6|каждую
68|22|6|24|2|5|каждую
69|13|7|126|2|4|нечётная
70|14|7|93|4|7|каждую
71|15|7|14|5|5|чётная
72|16|7|110|4|7|каждую
73|17|7|99|6|3|каждую
74|18|7|68|6|1|нечётная
75|19|7|120|3|1|нечётная
76|20|7|23|5|1|каждую
77|21|7|82|2|3|каждую
78|22|7|64|6|4|каждую
79|13|8|58|1|5|нечётная
80|14|8|74|3|5|каждую
81|15|8|63|4|2|чётная
82|16|8|3|5|2|чётная
83|17|8|66|5|5|каждую
84|18|8|18|1|3|каждую
85|19|8|49|5|2|каждую
86|20|8|50|2|4|каждую
87|21|8|47|4|1|каждую
88|22|8|97|5|3|чётная
89|23|9|40|3|5|нечётная
90|24|9|69|3|2|нечётная
91|25|9|105|1|1|каждую
92|26|9|39|2|7|каждую
93|27|9|6|3|2|каждую
94|28|9|105|5|1|каждую
95|23|10|32|4|7|каждую
96|24|10|98|1|7|каждую
97|25|10|127|4|2|чётная
98|26|10|42|5|3|нечётная
99|27|10|45|5|2|каждую
100|28|10|100|6|2|каждую
101|23|11|126|5|4|каждую
102|24|11|17|2|5|нечётная
103|25|11|121|2|1|чётная
104|26|11|10|5|4|каждую
105|27|11|30|1|4|каждую
106|28|11|52|1|6|каждую
107|23|12|128|3|2|чётная
108|24|12|2|2|2|каждую
109|25|12|99|2|2|каждую
110|26|12|71|4|1|каждую
111|27|12|100|3|3|нечётная
112|28|12|51|2|5|нечётная
113|23|13|114|4|6|чётная
114|24|13|115|3|1|каждую
115|25|13|43|5|4|чётная
116|26|13|87|3|3|каждую
117|27|13|42|5|2|каждую
118|28|13|121|3|3|каждую
119|23|14|27|4|6|каждую
120|24|14|12|6|1|нечётная
121|25|14|92|1|6|каждую
122|26|14|106|3|2|каждую
123|27|14|27|6|5|чётная
