1|1|ФИТ-0925-1|1|2025
2|1|ФИТ-0925-2|1|2025
3|1|ФИТ-0925-3|1|2025
4|1|ФИТ-0925-4|1|2025
5|1|ФИТ-0924-1|2|2024
6|1|ФИТ-0924-2|2|2024
7|1|ФИТ-0924-3|2|2024
8|1|ФИТ-0924-4|2|2024
9|1|ФИТ-0923-1|3|2023
10|1|ФИТ-0923-2|3|2023
11|1|ФИТ-0923-3|3|2023
12|1|ФИТ-0923-4|3|2023
13|1|ФИТ-0923-5|3|2023
14|1|ФИТ-0923-6|3|2023
15|1|ФИТ-0922-1|4|2022
16|1|ФИТ-0922-2|4|2022
17|1|ФИТ-0922-3|4|2022
18|1|ФИТ-0922-4|4|2022
27|2|ФИТ-0924-5|2|2024
37|3|ФИТ-1025-1|1|2025
38|3|ФИТ-1025-2|1|2025
39|3|ФИТ-1025-3|1|2025
40|3|ФИТ-1025-4|1|2025
41|3|ФИТ-1025-5|1|2025
42|3|ФИТ-1024-1|2|2024
43|3|ФИТ-1024-2|2|2024
44|3|ФИТ-1024-3|2|2024
45|3|ФИТ-1024-4|2|2024
46|3|ФИТ-1024-5|2|2024
47|3|ФИТ-1023-1|3|2023
48|3|ФИТ-1023-2|3|2023
49|3|ФИТ-1023-3|3|2023
50|3|ФИТ-1023-4|3|2023
51|3|ФИТ-1022-1|4|2022
52|3|ФИТ-1022-2|4|2022
53|3|ФИТ-1022-3|4|2022
63|4|ФИТ-0924-6|2|2024
64|5|ЭФ-3825-1|1|2025
65|5|ЭФ-3825-2|1|2025
66|5|ЭФ-3825-3|1|2025
67|5|ЭФ-3825-4|1|2025
68|5|ЭФ-3825-5|1|2025
69|5|ЭФ-3824-1|2|2024
70|5|ЭФ-3824-2|2|2024
71|5|ЭФ-3824-3|2|2024
72|5|ЭФ-3824-4|2|2024
73|5|ЭФ-3823-1|3|2023
74|5|ЭФ-3823-2|3|2023
75|5|ЭФ-3823-3|3|2023
76|5|ЭФ-3823-4|3|2023
77|5|ЭФ-3822-1|4|2022
78|5|ЭФ-3822-2|4|2022
79|5|ЭФ-3822-3|4|2022
80|5|ЭФ-3822-4|4|2022
94|6|ЭФ-3823-5|3|2023
99|6|ЭФ-3822-5|4|2022
109|8|ФМФ-0125-1|1|2025
110|8|ФМФ-0125-2|1|2025
111|8|ФМФ-0125-3|1|2025
112|8|ФМФ-0124-1|2|2024
113|8|ФМФ-0124-2|2|2024
114|8|ФМФ-0124-3|2|2024
115|8|ФМФ-0124-4|2|2024
116|8|ФМФ-0123-1|3|2023
117|8|ФМФ-0123-2|3|2023
118|8|ФМФ-0123-3|3|2023
119|8|ФМФ-0123-4|3|2023
120|8|ФМФ-0122-1|4|2022
121|8|ФМФ-0122-2|4|2022
122|8|ФМФ-0122-3|4|2022
123|8|ФМФ-0122-4|4|2022
124|9|ФМФ-0325-1|1|2025
125|9|ФМФ-0325-2|1|2025
126|9|ФМФ-0325-3|1|2025
127|9|ФМФ-0325-4|1|2025
128|9|ФМФ-0325-5|1|2025
129|9|ФМФ-0324-1|2|2024
130|9|ФМФ-0324-2|2|2024
131|9|ФМФ-0324-3|2|2024
132|9|ФМФ-0324-4|2|2024
133|9|ФМФ-0323-1|3|2023
134|9|ФМФ-0323-2|3|2023
135|9|ФМФ-0323-3|3|2023
136|9|ФМФ-0323-4|3|2023
137|9|ФМФ-0322-1|4|2022
138|9|ФМФ-0322-2|4|2022
139|9|ФМФ-0322-3|4|2022
140|9|ФМФ-0322-4|4|2022
141|9|ФМФ-0322-5|4|2022
142|9|ФМФ-0322-6|4|2022
143|10|ЮФ-4025-1|1|2025
144|10|ЮФ-4025-2|1|2025
145|10|ЮФ-4025-3|1|2025
146|10|ЮФ-4024-1|2|2024
147|10|ЮФ-4024-2|2|2024
148|10|ЮФ-4024-3|2|2024
149|10|ЮФ-4023-1|3|2023
150|10|ЮФ-4023-2|3|2023
151|10|ЮФ-4023-3|3|2023
152|10|ЮФ-4022-1|4|2022
153|10|ЮФ-4022-2|4|2022
154|10|ЮФ-4022-3|4|2022
155|10|ЮФ-4022-4|4|2022
156|10|ЮФ-4022-5|4|2022
157|10|ЮФ-4022-6|4|2022
161|11|ЮФ-4025-4|1|2025
162|11|ЮФ-4025-5|1|2025
163|11|ЮФ-4025-6|1|2025
167|11|ЮФ-4024-4|2|2024
168|12|ФБЭ-0625-1|1|2025
169|12|ФБЭ-0625-2|1|2025
170|12|ФБЭ-0625-3|1|2025
171|12|ФБЭ-0625-4|1|2025
172|12|ФБЭ-0625-5|1|2025
173|12|ФБЭ-0624-1|2|2024
174|12|ФБЭ-0624-2|2|2024
175|12|ФБЭ-0624-3|2|2024
176|12|ФБЭ-0623-1|3|2023
177|12|ФБЭ-0623-2|3|2023
178|12|ФБЭ-0623-3|3|2023
179|12|ФБЭ-0623-4|3|2023
180|12|ФБЭ-0622-1|4|2022
181|12|ФБЭ-0622-2|4|2022
182|12|ФБЭ-0622-3|4|2022
183|12|ФБЭ-0622-4|4|2022
184|13|ФБЭ-0525-1|1|2025
