1|1|1
2|1|2
3|1|3
4|1|4
5|1|5
6|1|6
7|1|7
8|1|8
9|1|9
10|1|10
11|1|11
12|1|12
13|2|1
14|2|2
15|2|3
16|2|4
17|2|5
18|2|6
19|2|7
20|2|8
21|2|9
22|2|10
23|2|11
24|2|12
25|3|1
26|3|2
27|3|3
28|3|4
29|3|5
30|3|6
31|3|7
32|3|8
33|3|9
34|3|10
35|3|11
36|3|12
37|4|1
38|4|2
39|4|3
40|4|4
41|4|5
42|4|6
43|4|7
44|4|8
45|4|9
46|4|10
47|4|11
48|4|12
49|5|1
50|5|2
51|5|3
52|5|4
53|5|5
54|5|6
55|5|7
56|5|8
57|5|9
58|5|10
59|5|11
60|5|12
61|6|1
62|6|2
63|6|3
64|6|4
65|6|5
66|6|6
67|6|7
68|6|8
69|6|9
70|6|10
71|6|11
72|6|12
73|7|1
74|7|2
75|7|3
76|7|4
77|7|5
78|7|6
79|7|7
80|7|8
81|7|9
82|7|10
83|7|11
84|7|12
85|8|1
86|8|2
87|8|3
88|8|4
89|8|5
90|8|6
91|8|7
92|8|8
93|8|9
94|8|10
95|8|11
96|8|12
97|9|1
98|9|2
99|9|3
100|9|4
101|9|5
102|9|6
103|9|7
104|9|8
105|9|9
106|9|10
107|9|11
108|9|12
109|10|1
110|10|2
111|10|3
112|10|4
113|10|5
114|10|6
115|10|7
116|10|8
117|10|9
118|10|10
119|10|11
120|10|12
121|11|1
122|11|2
123|11|3
124|11|4
125|11|5
126|11|6
127|11|7
128|11|8
129|11|9
130|11|10
131|11|11
132|11|12
133|12|1
134|12|2
135|12|3
136|12|4
137|12|5
138|12|6
139|12|7
140|12|8
141|12|9
142|12|10
143|12|11
144|12|12
145|13|1
146|13|2
147|13|3
148|13|4
149|13|5
150|13|6
151|13|7
152|13|8
153|13|9
154|13|10
155|13|11
156|13|12
157|14|1
158|14|2
159|14|3
160|14|4
161|14|5
162|14|6
163|14|7
164|14|8
165|14|9
166|14|10
167|14|11
168|14|12
