1|1|57|56|1
2|1|25|26|1
3|1|53|47|1
4|1|56|46|1
5|1|51|54|1
6|1|64|59|1
7|1|58|56|2
8|1|48|46|2
9|1|5|7|2
10|1|62|57|2
11|1|59|57|2
12|1|18|13|2
13|1|19|14|3
14|1|54|45|3
15|1|20|15|3
16|1|15|13|3
17|1|27|26|4
18|1|63|59|4
19|1|61|55|4
20|1|2|4|4
21|1|16|16|4
22|1|60|59|4
23|1|9|2|5
24|1|47|47|5
25|1|14|13|5
26|1|13|18|6
27|1|28|23|6
28|1|1|9|6
29|1|8|8|7
30|1|29|28|7
31|1|30|20|7
32|1|11|6|7
33|1|10|8|8
34|1|7|4|8
35|1|49|46|8
36|1|4|7|8
37|2|51|45|1
38|2|3|8|1
39|2|17|15|1
40|2|47|53|1
41|2|20|18|2
42|2|60|56|2
43|2|62|55|2
44|2|49|47|2
45|2|24|22|3
46|2|7|1|3
47|2|10|3|3
48|2|26|28|3
49|2|64|59|4
50|2|19|14|4
51|2|27|25|4
52|2|1|4|4
53|2|6|6|5
54|2|23|27|5
55|2|63|56|5
56|2|57|60|5
57|2|14|17|6
58|2|2|3|6
59|2|58|60|6
60|2|5|2|6
61|2|59|55|6
62|2|61|60|7
63|2|18|13|7
64|2|4|3|7
65|2|28|23|7
66|2|50|54|7
67|2|25|20|7
68|2|29|23|8
69|2|12|10|8
70|2|30|27|8
71|2|56|52|8
72|3|27|20|1
73|3|30|25|1
74|3|18|14|1
75|3|57|59|1
76|3|21|14|2
77|3|58|59|2
78|3|25|22|2
79|3|13|16|2
80|3|23|22|2
81|3|60|60|3
82|3|15|12|3
83|3|63|55|3
84|3|59|59|3
85|3|19|13|4
86|3|24|28|4
87|3|62|55|4
88|3|61|55|4
89|3|10|10|4
90|3|14|14|4
91|3|64|60|5
92|3|28|24|5
93|3|2|5|5
94|3|8|5|5
95|3|29|26|6
96|3|17|17|6
97|3|47|50|7
98|3|22|13|7
99|3|53|50|7
100|3|52|46|7
101|3|20|14|7
102|3|3|2|8
103|3|26|21|8
104|3|16|19|8
105|4|48|49|1
106|4|5|9|1
107|4|19|19|1
108|4|60|57|1
109|4|54|54|1
110|4|21|12|2
111|4|29|25|2
112|4|63|56|2
113|4|4|7|2
114|4|24|21|2
115|4|59|55|2
116|4|3|6|3
117|4|47|47|3
118|4|10|4|3
119|4|57|58|3
120|4|62|59|4
121|4|2|4|4
122|4|53|46|4
123|4|16|18|4
124|4|28|25|4
125|4|58|57|4
126|5|56|50|1
127|5|40|44|1
128|5|36|34|1
129|5|52|52|1
130|5|58|58|1
131|5|48|53|1
132|5|50|47|2
133|5|61|57|2
134|5|51|54|2
135|5|64|59|2
136|5|63|57|3
137|5|57|60|3
138|5|47|49|3
139|5|53|48|3
140|5|54|52|3
141|5|49|50|3
142|5|59|59|4
143|5|32|30|4
144|5|34|35|4
145|5|55|52|4
146|5|62|57|4
147|5|60|60|5
148|5|46|44|5
149|5|45|43|5
150|5|35|31|5
151|5|31|32|6
152|5|38|33|6
153|5|39|44|7
154|5|33|32|7
155|5|37|29|8
156|6|35|29|1
157|6|50|51|1
158|6|38|36|1
159|6|45|42|1
160|6|36|30|2
161|6|34|32|2
162|6|61|56|2
163|6|42|44|2
164|6|33|35|2
165|6|54|46|2
166|6|62|59|3
167|6|39|44|3
168|6|44|37|3
169|6|64|58|3
170|6|58|60|3
171|6|41|38|3
172|6|60|56|4
173|6|37|33|4
174|6|63|58|4
175|6|49|50|4
176|6|31|31|5
177|6|48|46|5
178|6|40|43|5
179|6|51|50|5
180|6|52|52|5
181|6|32|34|6
182|6|56|54|6
183|6|57|57|6
184|6|46|42|7
185|6|43|39|7
186|6|59|57|8
187|7|64|60|1
188|7|51|53|1
189|7|48|49|1
190|7|44|38|1
191|7|50|46|1
192|7|38|32|2
193|7|42|37|2
194|7|34|29|2
195|7|43|38|2
196|7|37|34|2
197|7|40|42|2
198|7|33|31|3
199|7|47|52|3
200|7|59|59|3
201|7|63|57|3
202|7|62|57|3
203|7|49|52|4
204|7|60|59|4
205|7|36|33|4
206|7|31|31|4
207|8|51|46|1
208|8|57|60|1
209|8|58|60|1
210|8|62|55|1
211|8|63|55|1
212|8|59|60|1
213|8|55|46|2
214|8|56|54|2
215|8|54|49|2
216|8|48|46|2
217|8|49|47|2
218|8|64|55|2
219|8|60|55|3
220|8|61|55|3
221|8|50|53|3
222|8|47|52|4
223|8|53|54|4
224|8|52|54|4
225|9|63|60|1
226|9|57|58|1
227|9|64|56|1
228|9|61|57|1
229|9|47|54|1
230|9|51|45|2
231|9|50|49|2
232|9|60|57|2
233|9|55|47|2
234|9|56|54|3
235|9|49|47|3
236|9|59|59|3
237|9|58|58|3
238|9|53|51|3
239|9|62|59|3
240|9|52|48|4
241|9|48|45|4
242|9|54|45|5
243|10|54|51|1
244|10|62|60|1
245|10|73|72|1
246|10|50|50|1
247|10|78|71|1
248|10|47|54|2
249|10|64|58|2
250|10|65|65|2
