1|2022|1|15|30|67|2022-06-20|2022-07-25
2|2022|2|25|10|61|2022-06-20|2022-07-25
3|2022|3|40|20|64|2022-06-20|2022-07-25
4|2022|4|30|30|55|2022-06-20|2022-07-25
5|2022|5|25|30|65|2022-06-20|2022-07-25
6|2022|6|40|20|65|2022-06-20|2022-07-25
7|2022|7|15|10|58|2022-06-20|2022-07-25
8|2022|8|40|20|73|2022-06-20|2022-07-25
9|2022|9|40|10|67|2022-06-20|2022-07-25
10|2022|10|25|30|85|2022-06-20|2022-07-25
11|2022|11|40|15|59|2022-06-20|2022-07-25
12|2022|12|40|30|78|2022-06-20|2022-07-25
13|2022|13|20|30|86|2022-06-20|2022-07-25
14|2023|1|30|15|58|2023-06-20|2023-07-25
15|2023|2|25|10|77|2023-06-20|2023-07-25
16|2023|3|20|10|88|2023-06-20|2023-07-25
17|2023|4|15|20|65|2023-06-20|2023-07-25
18|2023|5|30|30|68|2023-06-20|2023-07-25
19|2023|6|25|10|57|2023-06-20|2023-07-25
20|2023|7|15|10|67|2023-06-20|2023-07-25
21|2023|8|15|30|52|2023-06-20|2023-07-25
22|2023|9|25|30|82|2023-06-20|2023-07-25
23|2023|10|15|10|65|2023-06-20|2023-07-25
24|2023|11|20|10|62|2023-06-20|2023-07-25
25|2023|12|40|10|66|2023-06-20|2023-07-25
26|2023|13|25|30|62|2023-06-20|2023-07-25
27|2024|1|25|20|62|2024-06-20|2024-07-25
28|2024|2|40|20|79|2024-06-20|2024-07-25
29|2024|3|30|20|73|2024-06-20|2024-07-25
30|2024|4|40|10|70|2024-06-20|2024-07-25
31|2024|5|20|20|65|2024-06-20|2024-07-25
32|2024|6|40|10|78|2024-06-20|2024-07-25
33|2024|7|15|20|69|2024-06-20|2024-07-25
34|2024|8|15|10|61|2024-06-20|2024-07-25
35|2024|9|25|30|81|2024-06-20|2024-07-25
36|2024|10|20|10|87|2024-06-20|2024-07-25
37|2024|11|30|20|62|2024-06-20|2024-07-25
38|2024|12|20|30|87|2024-06-20|2024-07-25
39|2024|13|25|20|56|2024-06-20|2024-07-25
40|2025|1|15|10|57|2025-06-20|2025-07-25
41|2025|2|30|15|83|2025-06-20|2025-07-25
42|2025|3|30|15|79|2025-06-20|2025-07-25
43|2025|4|40|10|59|2025-06-20|2025-07-25
44|2025|5|30|10|67|2025-06-20|2025-07-25
45|2025|6|15|30|52|2025-06-20|2025-07-25
46|2025|7|40|20|85|2025-06-20|2025-07-25
47|2025|8|20|15|75|2025-06-20|2025-07-25
48|2025|9|20|10|74|2025-06-20|2025-07-25
49|2025|10|15|20|62|2025-06-20|2025-07-25
50|2025|11|15|20|80|2025-06-20|2025-07-25
51|2025|12|15|20|71|2025-06-20|2025-07-25
52|2025|13|20|20|59|2025-06-20|2025-07-25
53|2026|1|15|15|84|2026-06-20|2026-07-25
54|2026|2|40|10|59|2026-06-20|2026-07-25
55|2026|3|30|20|54|2026-06-20|2026-07-25
56|2026|4|15|30|54|2026-06-20|2026-07-25
57|2026|5|25|20|74|2026-06-20|2026-07-25
58|2026|6|30|30|87|2026-06-20|2026-07-25
59|2026|7|15|10|69|2026-06-20|2026-07-25
60|2026|8|30|30|78|2026-06-20|2026-07-25
61|2026|9|40|30|88|2026-06-20|2026-07-25
62|2026|10|40|15|52|2026-06-20|2026-07-25
63|2026|11|40|30|71|2026-06-20|2026-07-25
64|2026|12|30|10|75|2026-06-20|2026-07-25
65|2026|13|30|20|80|2026-06-20|2026-07-25
