1|Главный корпус|101|15|компьютерный класс
2|Главный корпус|102|30|семинарская
3|Главный корпус|103|15|компьютерный класс
4|Главный корпус|104|30|семинарская
5|Главный корпус|105|20|лаборатория
6|Главный корпус|106|25|семинарская
7|Главный корпус|107|100|лекционная
8|Главный корпус|108|15|компьютерный класс
9|Главный корпус|201|25|семинарская
10|Главный корпус|202|15|компьютерный класс
11|Главный корпус|203|30|семинарская
12|Главный корпус|204|12|компьютерный класс
13|Главный корпус|205|18|компьютерный класс
14|Главный корпус|206|25|семинарская
15|Главный корпус|207|16|лаборатория
16|Главный корпус|208|100|лекционная
17|Главный корпус|301|100|лекционная
18|Главный корпус|302|12|компьютерный класс
19|Главный корпус|303|15|компьютерный класс
20|Главный корпус|304|25|семинарская
21|Главный корпус|305|20|лаборатория
22|Главный корпус|306|25|семинарская
23|Главный корпус|307|100|лекционная
24|Главный корпус|308|25|семинарская
25|Главный корпус|401|16|лаборатория
26|Главный корпус|402|30|семинарская
27|Главный корпус|403|30|семинарская
28|Главный корпус|404|100|лекционная
29|Главный корпус|405|30|семинарская
30|Главный корпус|406|30|семинарская
31|Главный корпус|407|18|компьютерный класс
32|Главный корпус|408|18|компьютерный класс
33|Корпус Б|101|150|лекционная
34|Корпус Б|102|150|лекционная
35|Корпус Б|103|20|лаборатория
36|Корпус Б|104|120|лекционная
37|Корпус Б|105|30|семинарская
38|Корпус Б|106|18|компьютерный класс
39|Корпус Б|107|30|семинарская
40|Корпус Б|108|25|семинарская
41|Корпус Б|201|25|семинарская
42|Корпус Б|202|16|лаборатория
43|Корпус Б|203|18|компьютерный класс
44|Корпус Б|204|25|семинарская
45|Корпус Б|205|16|лаборатория
46|Корпус Б|206|150|лекционная
47|Корпус Б|207|30|семинарская
48|Корпус Б|208|30|семинарская
49|Корпус Б|301|16|лаборатория
50|Корпус Б|302|120|лекционная
51|Корпус Б|303|30|семинарская
52|Корпус Б|304|20|лаборатория
53|Корпус Б|305|120|лекционная
54|Корпус Б|306|25|семинарская
55|Корпус Б|307|30|семинарская
56|Корпус Б|308|120|лекционная
57|Корпус Б|401|15|компьютерный класс
58|Корпус Б|402|100|лекционная
59|Корпус Б|403|15|компьютерный класс
60|Корпус Б|404|25|семинарская
61|Корпус Б|405|12|компьютерный класс
62|Корпус Б|406|12|компьютерный класс
63|Корпус Б|407|20|лаборатория
64|Корпус Б|408|30|семинарская
65|Корпус В|101|25|семинарская
66|Корпус В|102|20|лаборатория
67|Корпус В|103|12|компьютерный класс
68|Корпус В|104|15|компьютерный класс
69|Корпус В|105|150|лекционная
70|Корпус В|106|100|лекционная
71|Корпус В|107|18|компьютерный класс
72|Корпус В|108|18|компьютерный класс
73|Корпус В|201|100|лекционная
74|Корпус В|202|25|семинарская
75|Корпус В|203|100|лекционная
76|Корпус В|204|16|лаборатория
77|Корпус В|205|16|лаборатория
78|Корпус В|206|16|лаборатория
79|Корпус В|207|25|семинарская
80|Корпус В|208|25|семинарская
81|Корпус В|301|20|лаборатория
82|Корпус В|302|20|лаборатория
83|Корпус В|303|120|лекционная
84|Корпус В|304|150|лекционная
85|Корпус В|305|30|семинарская
86|Корпус В|306|12|компьютерный класс
87|Корпус В|307|25|семинарская
88|Корпус В|308|25|семинарская
89|Корпус В|401|25|семинарская
90|Корпус В|402|15|компьютерный класс
91|Корпус В|403|25|семинарская
92|Корпус В|404|25|семинарская
93|Корпус В|405|100|лекционная
94|Корпус В|406|30|семинарская
95|Корпус В|407|16|лаборатория
96|Корпус В|408|18|компьютерный класс
97|Лабораторный корпус|101|18|компьютерный класс
98|Лабораторный корпус|102|30|семинарская
99|Лабораторный корпус|103|12|компьютерный класс
100|Лабораторный корпус|104|30|семинарская
101|Лабораторный корпус|105|25|семинарская
102|Лабораторный корпус|106|150|лекционная
103|Лабораторный корпус|107|30|семинарская
104|Лабораторный корпус|108|20|лаборатория
105|Лабораторный корпус|201|150|лекционная
106|Лабораторный корпус|202|30|семинарская
107|Лабораторный корпус|203|100|лекционная
108|Лабораторный корпус|204|12|компьютерный класс
109|Лабораторный корпус|205|25|семинарская
110|Лабораторный корпус|206|150|лекционная
111|Лабораторный корпус|207|20|лаборатория
112|Лабораторный корпус|208|16|лаборатория
113|Лабораторный корпус|301|150|лекционная
114|Лабораторный корпус|302|100|лекционная
115|Лабораторный корпус|303|30|семинарская
116|Лабораторный корпус|304|12|компьютерный класс
117|Лабораторный корпус|305|12|компьютерный класс
118|Лабораторный корпус|306|120|лекционная
119|Лабораторный корпус|307|120|лекционная
120|Лабораторный корпус|308|30|семинарская
121|Лабораторный корпус|401|15|компьютерный класс
122|Лабораторный корпус|402|16|лаборатория
123|Лабораторный корпус|403|12|компьютерный класс
124|Лабораторный корпус|404|15|компьютерный класс
125|Лабораторный корпус|405|30|семинарская
126|Лабораторный корпус|406|30|семинарская
127|Лабораторный корпус|407|30|семинарская
128|Лабораторный корпус|408|16|лаборатория
