1|1|Базы данных|108|зачёт
2|1|Программирование на Python|144|экзамен
3|1|Архитектура ПО|108|дифзачёт
4|1|Тестирование ПО|144|зачёт
5|1|Веб-разработка|72|дифзачёт
6|1|Алгоритмы и структуры данных|108|дифзачёт
7|1|Объектно-ориентированное программирование|144|экзамен
8|1|Операционные системы|108|зачёт
9|1|Компиляторы|108|экзамен
10|1|Мобильная разработка|144|зачёт
11|1|DevOps-практики|72|экзамен
12|1|Функциональное программирование|108|экзамен
13|2|Информационные системы|72|экзамен
14|2|Анализ данных|108|дифзачёт
15|2|Машинное обучение|108|экзамен
16|2|Big Data|108|экзамен
17|2|Хранилища данных|144|дифзачёт
18|2|Бизнес-аналитика|72|экзамен
19|2|Проектирование ИС|144|дифзачёт
20|2|Компьютерное зрение|72|дифзачёт
21|2|Обработка языка|144|экзамен
22|2|Системный анализ|144|дифзачёт
23|3|Криптография|72|дифзачёт
24|3|Сетевая безопасность|72|экзамен
25|3|Защита информации|144|зачёт
26|3|Аудит безопасности|144|экзамен
27|3|Реверс-инжиниринг|108|экзамен
28|3|Управление рисками ИБ|72|экзамен
29|3|Правовые основы ИБ|144|зачёт
30|3|Безопасность приложений|72|экзамен
31|4|Микроэкономика|144|экзамен
32|4|Макроэкономика|108|дифзачёт
33|4|История экономических учений|144|дифзачёт
34|4|Институциональная экономика|108|зачёт
35|4|Мировая экономика|144|экзамен
36|4|Эконометрика|72|экзамен
37|4|Экономическая статистика|108|зачёт
38|4|Теория игр|144|дифзачёт
39|5|Финансовый менеджмент|72|дифзачёт
40|5|Банковское дело|72|экзамен
41|5|Инвестиционный анализ|72|экзамен
42|5|Корпоративные финансы|108|дифзачёт
43|5|Налоги и налогообложение|108|зачёт
44|5|Страхование|144|экзамен
45|5|Рынок ценных бумаг|144|дифзачёт
46|5|Финансовый учёт|144|дифзачёт
47|6|Математический анализ|144|дифзачёт
48|6|Линейная алгебра|144|экзамен
49|6|Дискретная математика|72|зачёт
50|6|Теория вероятностей|108|зачёт
51|6|Математическая статистика|144|экзамен
52|6|Дифференциальные уравнения|108|зачёт
53|6|Численные методы|72|зачёт
54|6|Методы оптимизации|108|дифзачёт
55|6|Функциональный анализ|72|дифзачёт
56|6|Теория чисел|72|экзамен
57|7|Механика|108|экзамен
58|7|Электродинамика|72|экзамен
59|7|Квантовая физика|144|экзамен
60|7|Термодинамика|72|экзамен
61|7|Оптика|72|экзамен
62|7|Молекулярная физика|108|зачёт
63|7|Физика твёрдого тела|144|зачёт
64|7|Атомная физика|144|экзамен
65|8|Гражданское право|72|зачёт
66|8|Семейное право|108|экзамен
67|8|Договорное право|72|экзамен
68|8|Наследственное право|144|дифзачёт
69|8|Жилищное право|72|дифзачёт
70|8|Трудовое право|144|экзамен
71|8|Гражданский процесс|72|дифзачёт
72|8|Предпринимательское право|108|зачёт
73|9|Уголовное право|108|зачёт
74|9|Криминалистика|144|экзамен
75|9|Уголовный процесс|72|экзамен
76|9|Криминология|72|экзамен
77|9|Судебная экспертиза|108|экзамен
78|9|Уголовно-исполнительное право|72|экзамен
79|9|Международное уголовное право|144|экзамен
80|10|Общая экология|144|экзамен
81|10|Охрана окружающей среды|144|экзамен
82|10|Экологический мониторинг|144|экзамен
83|10|Природопользование|72|экзамен
84|10|Экология человека|144|дифзачёт
85|10|Биоиндикация|108|зачёт
86|10|Экологическое право|108|дифзачёт
87|11|Ботаника|108|экзамен
88|11|Физиология растений|144|экзамен
89|11|Систематика растений|108|дифзачёт
90|11|Микробиология|108|экзамен
91|11|Генетика|144|экзамен
92|11|Биохимия|72|экзамен
93|11|Цитология|108|экзамен
