1|1|3|2023-05-24|1
2|2|4|2026-01-03|1
3|3|3|2024-05-30|1
4|4|5|2022-04-04|1
5|5|3|2023-03-09|1
6|6|4|2022-12-27|1
7|7|2|2025-08-13|1
8|7|4|2025-09-01|2
9|8|4|2024-06-02|1
10|9|5|2024-09-17|1
11|10|4|2023-11-26|1
12|11|4|2025-04-14|1
13|12|5|2025-08-25|1
14|13|5|2024-03-25|1
15|14|5|2023-10-13|1
16|15|4|2023-08-21|1
17|16|5|2023-12-27|1
18|17||2024-12-23|1
19|18|2|2024-03-26|1
20|19|3|2022-03-18|1
21|20|5|2023-03-27|1
22|21|4|2026-01-13|1
23|22|5|2024-02-04|1
24|23|3|2025-05-13|1
25|24|4|2025-03-26|1
26|25|4|2024-09-12|1
27|26|4|2024-07-22|1
28|27|4|2023-08-25|1
29|28|5|2024-10-08|1
30|29|5|2024-11-22|1
31|30|4|2022-04-23|1
32|31|4|2023-07-24|1
33|32|5|2023-04-15|1
34|33|5|2025-12-27|1
35|34|4|2023-02-23|1
36|35|5|2022-01-26|1
37|36|4|2024-11-08|1
38|37|5|2025-10-17|1
39|38|4|2025-08-25|1
40|39|2|2024-05-20|1
41|40|5|2025-12-17|1
42|41|3|2022-02-13|1
43|42|4|2023-03-06|1
44|43|4|2025-05-10|1
45|44|4|2023-05-30|1
46|45|3|2023-09-10|1
47|46|5|2025-05-07|1
48|47|4|2022-08-29|1
49|48|4|2024-11-26|1
50|49|4|2023-06-09|1
51|50|5|2022-10-31|1
52|51|4|2022-03-29|1
53|52|4|2023-02-21|1
54|53||2023-12-13|1
55|54|3|2024-06-15|1
56|55|5|2025-11-07|1
57|56|4|2025-08-21|1
58|57|4|2023-03-03|1
59|58|3|2025-02-20|1
60|59|4|2022-08-28|1
61|60|4|2022-02-19|1
62|61|5|2024-06-20|1
63|62|5|2025-02-06|1
64|63|3|2025-11-20|1
65|64|4|2025-05-09|1
66|65|3|2024-05-31|1
67|66|5|2025-07-27|1
68|67|3|2024-10-05|1
69|68||2022-11-13|1
70|69|4|2025-01-07|1
71|70|4|2023-06-11|1
72|71|5|2023-06-11|1
73|72|2|2024-08-09|1
74|72|3|2024-08-24|2
75|73|4|2025-09-12|1
76|74|4|2025-10-11|1
77|75|3|2022-11-10|1
78|76|5|2023-04-07|1
79|77|4|2025-07-18|1
80|78|4|2022-06-22|1
81|79|5|2022-08-21|1
82|80|5|2024-05-14|1
83|81|4|2024-04-27|1
84|82|5|2023-05-06|1
85|83||2023-12-17|1
86|84|4|2024-06-03|1
87|85|5|2025-01-24|1
88|86|3|2025-10-22|1
89|87|3|2023-11-26|1
90|88|5|2025-12-24|1
91|89|4|2025-04-15|1
92|90|4|2022-04-04|1
93|91|4|2025-04-03|1
94|92|4|2025-01-16|1
95|93|4|2023-02-28|1
96|94|5|2023-12-24|1
97|95|3|2024-01-14|1
98|96|3|2022-07-17|1
99|97|4|2024-07-16|1
100|98|3|2022-07-13|1
101|99|4|2025-11-21|1
102|100|3|2025-04-08|1
103|101|5|2025-06-28|1
104|102|2|2022-11-11|1
105|102|3|2022-11-21|2
106|103|4|2023-04-07|1
107|104|3|2024-11-13|1
108|105||2024-04-22|1
109|106|3|2025-07-16|1
110|107|4|2024-03-30|1
111|108|2|2024-03-31|1
112|108|3|2024-04-18|2
113|109|4|2025-10-06|1
114|110|3|2024-01-12|1
115|111|4|2023-06-02|1
116|112||2025-11-10|1
117|113|3|2023-11-03|1
118|114|4|2024-05-11|1
119|115|4|2022-09-11|1
120|116|5|2024-05-30|1
121|117|4|2025-02-05|1
122|118|5|2022-07-21|1
123|119|5|2024-02-04|1
124|120|5|2025-09-03|1
125|121|3|2023-06-25|1
126|122|4|2025-10-12|1
127|123|4|2024-04-28|1
128|124|3|2025-04-18|1
129|125|4|2022-10-01|1
130|126|5|2025-07-23|1
131|127|3|2023-02-26|1
132|128|4|2024-09-16|1
